listing_id,date
30290990,2020-01-26
30290990,2020-02-23
30290990,2020-07-07
30290990,2020-07-22
30290990,2020-07-24
30290990,2020-07-26
30290990,2020-08-02
30290990,2020-08-04
30290990,2020-08-14
30290990,2020-08-16
30290990,2020-08-21
30290990,2020-08-27
30290990,2020-09-03
30290990,2020-09-06
30290990,2020-09-09
30290990,2020-12-02
30290990,2021-03-19
30290990,2021-04-07
30290990,2021-04-18
30290990,2021-04-25
30290990,2021-04-28
30290990,2021-05-02
30290990,2021-05-21
30290990,2021-05-31
30290990,2021-06-05
30290990,2021-06-20
30290990,2021-06-23
30290990,2021-06-30
30290990,2021-07-02
30290990,2021-07-04
30290990,2021-07-09
30290990,2021-07-12
30290990,2021-07-13
30290990,2021-08-02
30290990,2021-08-13
30290990,2021-08-25
30290990,2021-08-28
30290990,2021-09-01
30290990,2021-09-23
30290990,2021-09-27
30290990,2021-10-09
30290990,2021-10-15
30290990,2021-10-22
30290990,2021-10-25
30290990,2021-10-29
30290990,2021-11-14
30290990,2021-11-19
30290990,2021-11-23
30290990,2021-12-23
30290990,2021-12-30
30290990,2022-01-04
30290990,2022-02-27
30290990,2022-03-05
30290990,2022-03-07
30290990,2022-03-24
30290990,2022-03-30
30290990,2022-04-08
30290990,2022-04-16
30290990,2022-04-18
30290990,2022-04-25
30290990,2022-04-29
30290990,2022-05-08
30290990,2022-05-11
30290990,2022-05-26
30290990,2022-06-01
30290990,2022-06-02
30290990,2022-06-05
30290990,2022-06-07
30290990,2022-06-15
30290990,2022-06-17
30290990,2022-06-23
30290990,2022-06-29
30290990,2022-07-03
30290990,2022-07-08
30290990,2022-07-11
30290990,2022-07-16
30290990,2022-07-20
30290990,2022-07-22
30290990,2022-07-29
30290990,2022-08-01
30290990,2022-08-10
30290990,2022-08-12
30290990,2022-08-14
30290990,2022-08-29
30290990,2022-09-05
30290990,2022-09-08
30290990,2022-09-10
30290990,2022-09-17
30290990,2022-09-21
30290990,2022-09-24
30290990,2022-09-29
30290990,2022-10-04
30290990,2022-10-05
30290990,2022-10-14
30290990,2022-10-18
30290990,2022-10-26
30290990,2022-10-28
30290990,2022-11-01
30290990,2022-11-06
30290990,2022-11-16
30290990,2022-11-22
30290990,2022-11-25
30290990,2022-12-01
30290990,2022-12-04
30290990,2022-12-19
30290990,2022-12-28
30290990,2023-01-07
30290990,2023-01-15
30290990,2023-01-20
30290990,2023-01-29
30290990,2023-02-06
30290990,2023-02-18
30290990,2023-02-21
30290990,2023-02-26
30290990,2023-03-01
30290990,2023-03-05
30290990,2023-03-20
30290990,2023-03-25
30290990,2023-04-01
30290990,2023-04-03
30290990,2023-04-06
30290990,2023-04-08
30290990,2023-04-16
30290990,2023-04-25
30290990,2023-04-26
30290990,2023-05-07
30290990,2023-05-09
30290990,2023-05-19
30290990,2023-05-26
30290990,2023-05-29
30290990,2023-06-08
30290990,2023-06-12
30290990,2023-06-25
30290990,2023-06-29
30290990,2023-07-09
30290990,2023-07-12
30290990,2023-07-15
30290990,2023-07-23
30290990,2023-07-31
30290990,2023-08-08
30290990,2023-08-09
30290990,2023-08-17
30290990,2023-08-22
30290990,2023-08-27
